City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
552,gamay,12.3854,125.2979,75.9,94.0,100.0,2.62,PH,1717448325.0
553,ponta delgada,37.7333,-25.6667,66.92,82.0,20.0,13.8,PT,1717448326.0
554,kudymkar,59.0173,54.656,58.3,96.0,99.0,3.83,RU,1717448328.0
555,burang,30.25,81.1667,39.43,67.0,82.0,5.1,CN,1717448329.0
556,camarinas,43.1311,-9.1817,61.93,84.0,2.0,16.24,ES,1717448330.0
557,lenino,45.2986,35.7771,70.38,71.0,1.0,7.61,UA,1717448331.0
558,narva,59.3772,28.1903,52.75,97.0,81.0,3.85,EE,1717448332.0
562,axim,4.8699,-2.2405,80.13,83.0,24.0,9.4,GH,1717448337.0
563,pacific grove,36.6177,-121.9166,75.24,83.0,100.0,8.05,US,1717448338.0
564,tommot,58.9564,126.2925,54.07,63.0,33.0,1.99,RU,1717448339.0
565,ocean shores,46.9737,-124.1563,57.96,85.0,75.0,18.41,US,1717448341.0
566,kapit,2.0167,112.9333,73.62,99.0,100.0,0.63,MY,1717448101.0
567,bandarbeyla,9.4942,50.8122,81.16,77.0,99.0,20.36,SO,1717448088.0
568,bonito,-21.1211,-56.4819,78.04,47.0,73.0,0.72,BR,1717448236.0
569,namie,37.4833,141.0,60.98,82.0,100.0,11.25,JP,1717448345.0
570,leava,-14.3,-178.1667,81.88,64.0,100.0,18.1,WF,1717448347.0
571,chashniki,54.8569,29.1607,58.69,96.0,98.0,6.62,BY,1717448348.0
572,tarauaca,-8.1614,-70.7656,81.73,69.0,95.0,1.77,BR,1717448349.0
573,lata,40.1629,-8.3327,60.4,68.0,0.0,1.61,PT,1717448209.0
